BIO102B,,0
BIO102A,,0
CS102B,,0
PHY105A,%d,1
MA203a,(%d or %d),2
CS102A,,0
CLE023,,0
CLE022,,0
MA101B,,0
CLE030,%d,1
MA102B,(%d or %d),2
PHY103B,,0
MA103B,,0
CLE021,,0
PHY105C,(%d or %d or %d) or (%d or %d),5
MA103A,,0
MA102a,(%d or %d),2
CH101B,,0
CH101A,,0
PHY105B,(%d or %d or %d),3
